offline_datapoint_1 1504083285 100,000
offline_datapoint_2 1504083285 0,065
offline_datapoint_0 1504083290 7602,000
offline_datapoint_1 1504083288 99,483
offline_datapoint_2 1504083288 0,075
offline_datapoint_0 1504083293 7600,000
offline_datapoint_1 1504083291 99,611
offline_datapoint_2 1504083291 0,091
offline_datapoint_0 1504083296 7600,000
offline_datapoint_1 1504083294 100,000
offline_datapoint_2 1504083294 0,078
offline_datapoint_0 1504083299 7597,000
offline_datapoint_1 1504083297 99,741
offline_datapoint_2 1504083297 0,073
offline_datapoint_0 1504083302 7607,000
offline_datapoint_1 1504083300 99,741
offline_datapoint_2 1504083300 0,075
offline_datapoint_0 1504083305 7602,000
offline_datapoint_1 1504083303 100,000
offline_datapoint_2 1504083303 0,053
offline_datapoint_0 1504083308 7605,000
offline_datapoint_1 1504083306 99,870
offline_datapoint_2 1504083306 0,052
offline_datapoint_0 1504083311 7601,000
offline_datapoint_1 1504083309 99,870
offline_datapoint_2 1504083309 0,071
offline_datapoint_0 1504083315 7602,000
offline_datapoint_1 1504083313 99,741
offline_datapoint_2 1504083313 0,056
offline_datapoint_0 1504083318 7605,000
offline_datapoint_1 1504083316 99,483
offline_datapoint_2 1504083316 0,094
offline_datapoint_0 1504083321 7599,000
offline_datapoint_1 1504083319 99,610
offline_datapoint_2 1504083319 0,078
offline_datapoint_0 1504083324 7598,000
offline_datapoint_1 1504083322 99,226
offline_datapoint_2 1504083322 0,068
offline_datapoint_0 1504083327 7590,000
offline_datapoint_1 1504083325 99,740
offline_datapoint_2 1504083325 0,058
offline_datapoint_0 1504083330 7591,000
offline_datapoint_1 1504083328 99,871
offline_datapoint_2 1504083328 0,083
offline_datapoint_0 1504083333 7602,000
offline_datapoint_1 1504083331 100,000
offline_datapoint_2 1504083331 0,083
offline_datapoint_0 1504083336 7606,000
offline_datapoint_1 1504083334 100,000
offline_datapoint_2 1504083334 0,051
offline_datapoint_0 1504083339 7601,000
offline_datapoint_1 1504083337 100,000
offline_datapoint_2 1504083337 0,056
offline_datapoint_0 1504083342 7599,000
offline_datapoint_1 1504083340 99,352
offline_datapoint_2 1504083340 0,056
offline_datapoint_0 1504083345 7589,000
offline_datapoint_1 1504083343 99,482
offline_datapoint_2 1504083343 0,070
offline_datapoint_0 1504083348 7595,000
offline_datapoint_1 1504083346 98,963
offline_datapoint_2 1504083346 0,043
offline_datapoint_0 1504083351 7592,000
offline_datapoint_1 1504083349 99,612
offline_datapoint_2 1504083349 0,061
offline_datapoint_0 1504083354 7592,000
offline_datapoint_1 1504083352 99,611
offline_datapoint_2 1504083352 0,060
offline_datapoint_0 1504083357 7597,000
offline_datapoint_1 1504083355 99,741
offline_datapoint_2 1504083355 0,085
offline_datapoint_0 1504083360 7584,000
offline_datapoint_1 1504083358 98,833
offline_datapoint_2 1504083358 0,067
offline_datapoint_0 1504083363 7591,000
offline_datapoint_1 1504083361 98,834
offline_datapoint_2 1504083361 0,090
offline_datapoint_0 1504083366 7594,000
offline_datapoint_1 1504083364 99,741
offline_datapoint_2 1504083364 0,042
offline_datapoint_0 1504083369 7595,000
offline_datapoint_1 1504083367 99,870
offline_datapoint_2 1504083367 0,063
offline_datapoint_0 1504083372 7597,000
offline_datapoint_1 1504083370 99,225
offline_datapoint_2 1504083370 0,043
offline_datapoint_0 1504083375 7588,000
offline_datapoint_1 1504083373 99,221
offline_datapoint_2 1504083373 0,090
offline_datapoint_0 1504083378 7598,000
offline_datapoint_1 1504083376 99,223
offline_datapoint_2 1504083376 0,066
offline_datapoint_0 1504083381 7596,000
offline_datapoint_1 1504083379 99,225
offline_datapoint_2 1504083379 0,073
offline_datapoint_0 1504083384 7592,000
offline_datapoint_1 1504083382 99,870
offline_datapoint_2 1504083382 0,047
offline_datapoint_0 1504083387 7589,000
offline_datapoint_1 1504083385 99,741
offline_datapoint_2 1504083385 0,085
offline_datapoint_0 1504083390 7587,000
offline_datapoint_1 1504083388 98,965
offline_datapoint_2 1504083388 0,053
offline_datapoint_0 1504083393 7594,000
offline_datapoint_1 1504083391 99,352
offline_datapoint_2 1504083391 0,098
offline_datapoint_0 1504083396 7594,000
offline_datapoint_1 1504083394 99,741
offline_datapoint_2 1504083394 0,063
offline_datapoint_0 1504083399 7587,000
offline_datapoint_1 1504083397 100,000
offline_datapoint_2 1504083397 0,118
offline_datapoint_0 1504083402 7591,000
offline_datapoint_1 1504083400 99,870
offline_datapoint_2 1504083400 0,032
offline_datapoint_0 1504083405 7586,000
offline_datapoint_1 1504083403 99,872
offline_datapoint_2 1504083403 0,076
offline_datapoint_0 1504083408 7591,000
offline_datapoint_1 1504083406 99,741
offline_datapoint_2 1504083406 0,030
offline_datapoint_0 1504083411 7585,000
offline_datapoint_1 1504083409 100,000
offline_datapoint_2 1504083409 0,232
offline_datapoint_0 1504083414 7587,000
offline_datapoint_1 1504083412 99,870
offline_datapoint_2 1504083412 0,038
offline_datapoint_0 1504083417 7586,000
offline_datapoint_1 1504083415 99,611
offline_datapoint_2 1504083415 0,081
offline_datapoint_0 1504083420 7586,000
offline_datapoint_1 1504083418 99,870
offline_datapoint_2 1504083418 0,038
offline_datapoint_0 1504083423 7587,000
offline_datapoint_1 1504083421 99,871
offline_datapoint_2 1504083421 0,076
offline_datapoint_0 1504083426 7590,000
offline_datapoint_1 1504083424 99,352
offline_datapoint_2 1504083424 0,038
offline_datapoint_0 1504083429 7592,000
offline_datapoint_1 1504083427 98,963
offline_datapoint_2 1504083427 0,101
offline_datapoint_0 1504083432 7583,000
offline_datapoint_1 1504083430 99,611
offline_datapoint_2 1504083430 0,030
offline_datapoint_0 1504083435 7587,000
offline_datapoint_1 1504083433 99,224
offline_datapoint_2 1504083433 0,086
offline_datapoint_0 1504083438 7588,000
offline_datapoint_1 1504083436 99,222
offline_datapoint_2 1504083436 0,037
offline_datapoint_0 1504083441 7590,000
offline_datapoint_1 1504083439 99,092
offline_datapoint_2 1504083439 0,066
offline_datapoint_0 1504083444 7581,000
offline_datapoint_1 1504083442 99,612
offline_datapoint_2 1504083442 0,048
offline_datapoint_0 1504083447 7581,000
offline_datapoint_1 1504083445 98,445
offline_datapoint_2 1504083445 0,080
offline_datapoint_0 1504083450 7589,000
offline_datapoint_1 1504083448 99,611
offline_datapoint_2 1504083448 0,091
offline_datapoint_0 1504083453 7586,000
offline_datapoint_1 1504083451 100,000
offline_datapoint_2 1504083451 0,101
offline_datapoint_0 1504083456 7587,000
offline_datapoint_1 1504083454 100,000
offline_datapoint_2 1504083454 0,056
offline_datapoint_0 1504083459 7582,000
offline_datapoint_1 1504083457 100,000
offline_datapoint_2 1504083457 0,098
offline_datapoint_0 1504083462 7581,000
offline_datapoint_1 1504083460 99,870
offline_datapoint_2 1504083460 0,042
offline_datapoint_0 1504083465 7576,000
offline_datapoint_1 1504083463 100,000
offline_datapoint_2 1504083463 0,088
offline_datapoint_0 1504083468 7572,000
offline_datapoint_1 1504083466 100,000
offline_datapoint_2 1504083466 0,032
offline_datapoint_0 1504083471 7577,000
offline_datapoint_1 1504083469 100,000
offline_datapoint_2 1504083469 0,086
offline_datapoint_0 1504083474 7572,000
offline_datapoint_1 1504083472 100,000
offline_datapoint_2 1504083472 0,049
offline_datapoint_0 1504083477 7574,000
offline_datapoint_1 1504083475 100,000
offline_datapoint_2 1504083475 0,082
offline_datapoint_0 1504083480 7566,000
offline_datapoint_1 1504083478 100,000
offline_datapoint_2 1504083478 0,063
offline_datapoint_0 1504083483 7578,000
offline_datapoint_1 1504083481 100,000
offline_datapoint_2 1504083481 0,083
offline_datapoint_0 1504083486 7570,000
offline_datapoint_1 1504083484 100,000
offline_datapoint_2 1504083484 0,081
